Description,UPC,Promo_Price,Retail_Price,Manufacturer,Category,Count,Multiplier,Retailer,Predicted_List_Price
"Mute Breathe More, Snore Less Trial (Sm, Med, Lg)",9349390000000.0,,17.99,RHINOMED,UPPER RESPIRATORY - NASAL PRODUCTS,1.0,17.99,Walgreens,9.718060277777779
Pink Sugar Body Mist,8054610000000.0,5.8,8.29,NAT/BOUNTY,FOOT CARE PRODUCTS,8.0,66.32,Walgreens,6.067999999999999
ORGANYC Organic Intimate Hygiene Wet Wipes,8016870000000.0,,4.9,CORMAN,FEMININE NEEDS - WOMEN'S CARE,20.0,98.0,Walgreens,2.9281300000000017
ORGANYC Organic Intimate Wash for Sensitive Skin,8016870000000.0,,5.99,CORMAN,FEMININE NEEDS - WOMEN'S CARE,8.5,50.915,Walgreens,3.7033999999999994
Lelo Hex Latex Condoms,7350080000000.0,,18.99,HEALTHSMART,CONTRACEPTIVES,12.0,227.88,Walgreens,10.471295604395605
Hibiclens Antimicrobial and Antiseptic Soap and Skin Cleanser with Foaming Pump,7323190000000.0,,19.99,MOLNLYCKE,FIRST AID - TREATMENTS,16.0,319.84,Walgreens,11.639955555555543
Promixx Pursuit Eco Shaker Bottle - Black 24oz,5060540000000.0,,9.99,BAYER INC,HOME HEALTH CARE,1.0,9.99,Walgreens,6.262924999999995
Herstat Plus+ Cold Sore Treatment,5060210000000.0,,19.99,HERSTAT,UPPER RESPIRATORY - EXTERNAL,0.07,1.3993,Walgreens,12.527980769230771
Soap & Glory Clean on Me Clarifying Body Wash Original Pink,5045100000000.0,,9.0,PHARMAVITE,SOAP,16.9,152.1,Walgreens,5.5617706060606045
Soap & Glory Clean on Me Clarifying Body Wash Original Pink,5045100000000.0,,9.0,AT LAST NAT,SOAP,16.9,152.1,Walgreens,5.865037272727271
Soap & Glory Smoothie Star Body Lotion,5045100000000.0,,11.0,PHARMA ULT/H,SKIN CARE - HAND & BODY,16.9,185.9,Walgreens,5.702418383838388
No7 Pure Retinol Eye Cream,5000170000000.0,,29.99,SWISS RES,SKIN CARE - FACIAL,0.5,14.995,Walgreens,15.719611666666662
No7 Melting Gel Cleanser for Dry Skin,5000170000000.0,,9.99,ECLECTIC,SKIN CARE - FACIAL,5.0,49.95,Walgreens,7.62928541125541
No7 Restore & Renew Face & Neck Mulit Action Fragrance Free Day Cream SPF 30 Fragrance Free,5000170000000.0,,34.99,INVACARE,SKIN CARE - FACIAL,1.69,59.1331,Walgreens,20.151133333333338
"No7 Lift & Luminate Triple Action Serum Foundation, Honey",5000170000000.0,,17.99,NAT/BOUNTY,COSMETICS - FACIAL,1.0,17.99,Walgreens,9.557760277777778
"Clairol Nice 'n Easy Permanent Hair Color, Darkest Burgundy Violet 3RV",4064670000000.0,,9.29,COTY,HAIR CARE - COLORING,1.0,9.29,Walgreens,6.151224198717939
"Clairol Nice 'n Easy Permanent Hair Color, Darkest Burgundy Violet 3RV",4064670000000.0,,9.29,COTY,HAIR CARE - COLORING,1.0,9.29,Walgreens,6.151224198717939
CoverGirl Exhibitionist Mascara Very Black,3614230000000.0,,13.49,PHY FORMULA,COSMETICS-EYE,0.3,4.047,Walgreens,7.012302380952391
La Roche-Posay Anthelios Kids Gentle Lotion Sunscreen SPF 50 for Face and Body Fragrance-Free,3606000000000.0,,33.0,LA ROCHE-POS,SUN CARE,6.7,221.1,Walgreens,18.30459999999999
CeraVe Acne Control Cleanser,3606000000000.0,,16.99,LOREAL,SKIN CARE - ACNE,8.0,135.92,Walgreens,10.339974736660404
CeraVe Acne Control Gel,3606000000000.0,,20.99,LOREAL,SKIN CARE - ACNE,1.35,28.3365,Walgreens,12.329299999999995
"CeraVe Renewing SA Cleanser, Fragrance Free",3606000000000.0,,18.99,LOREAL,SKIN CARE - FACIAL,16.0,303.84,Walgreens,10.249605128205118
CeraVe Baby Moisturizing Cream with Hyaluronic Acid and Essential Ceramides,3606000000000.0,,9.99,LOREAL,BABY PRODUCTS,5.0,49.95,Walgreens,5.943090265567767
CeraVe Gentle Baby Moisturizing Lotion with Hyaluronic Acid and Ceramides,3606000000000.0,,9.99,LOREAL,BABY PRODUCTS,8.0,79.92,Walgreens,5.935518571428573
CeraVe Baby Wash and Shampoo for Tear-Free Baby Bath Time,3606000000000.0,,9.99,LOREAL,BABY PRODUCTS,8.0,79.92,Walgreens,5.935518571428573
CeraVe Hydrating Cream-to-Foam Face Cleanser,3606000000000.0,,18.99,LOREAL,SKIN CARE - FACIAL,16.0,303.84,Walgreens,10.249605128205118
CeraVe Foaming Cleanser Bar for Oily Skin,3606000000000.0,,8.99,LOREAL,SOAP,4.5,40.455,Walgreens,5.077111558441557
CeraVe Eczema Relief Creamy Body Oil,3606000000000.0,,18.99,LOREAL,SKIN CARE - HAND & BODY,8.0,151.92,Walgreens,9.939400000000004
CeraVe Eczema Relief Creamy Body Oil,3606000000000.0,,18.99,LOREAL,SKIN CARE - HAND & BODY,8.0,151.92,Walgreens,9.939400000000004
CeraVe Healing Ointment,3606000000000.0,,8.99,LOREAL,SKIN CARE - HAND & BODY,1.89,16.9911,Walgreens,5.248399999999999
CeraVe Healing Ointment,3606000000000.0,,8.99,LOREAL,SKIN CARE - HAND & BODY,1.89,16.9911,Walgreens,5.248399999999999
CeraVe Healing Ointment,3606000000000.0,,8.99,LOREAL,SKIN CARE - HAND & BODY,1.89,16.9911,Walgreens,5.248399999999999
CeraVe Itch Relief Moisturizing Lotion with Pramoxine Hydrochloride for Dry Skin,3606000000000.0,,28.99,LOREAL,FIRST AID - TREATMENTS,16.0,463.84,Walgreens,16.5096
CeraVe Itch Relief Moisturizing Lotion with Pramoxine Hydrochloride for Dry Skin,3606000000000.0,,28.99,LOREAL,FIRST AID - TREATMENTS,16.0,463.84,Walgreens,16.5096
CeraVe Itch Relief Moisturizing Cream with Pramoxine Hydrochloride for Dry Skin,3606000000000.0,,28.99,LOREAL,FIRST AID - TREATMENTS,16.0,463.84,Walgreens,16.5096
"CeraVe Hydrating Micellar Water, Ultra Gentle Facial Cleanser & Eye Makeup Remover",3606000000000.0,,12.99,LOREAL,SKIN CARE - FACIAL,10.0,129.9,Walgreens,7.929029269293923
"CeraVe Skin Renewing Gel Oil Face Moisturizer, Fragrance Free",3606000000000.0,,25.99,LOREAL,SKIN CARE - FACIAL,1.0,25.99,Walgreens,14.49811666666667
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented,3606000000000.0,,6.99,LOREAL,SKIN CARE - HAND & BODY,1.89,13.2111,Walgreens,3.565678571428572
"CeraVe Foaming Face Cleanser, Fragrance-Free Face Wash with Hyaluronic Acid",3606000000000.0,,16.99,LOREAL,SKIN CARE - FACIAL,12.0,203.88,Walgreens,10.356324736660405
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3606000000000.0,,15.99,LOREAL,SKIN CARE - HAND & BODY,12.0,191.88,Walgreens,9.92164547619048
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3606000000000.0,,15.99,LOREAL,SKIN CARE - HAND & BODY,12.0,191.88,Walgreens,9.92164547619048
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3606000000000.0,,15.99,LOREAL,SKIN CARE - HAND & BODY,12.0,191.88,Walgreens,9.92164547619048
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3606000000000.0,,15.99,LOREAL,SKIN CARE - HAND & BODY,12.0,191.88,Walgreens,9.92164547619048
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin Unscented,3606000000000.0,,16.99,LOREAL,SKIN CARE - HAND & BODY,12.0,203.88,Walgreens,10.285763867095186
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin Unscented,3606000000000.0,,16.99,LOREAL,SKIN CARE - HAND & BODY,12.0,203.88,Walgreens,10.285763867095186
CeraVe Salicylic Acid Body Lotion for Rough and Bumpy Skin with Hyaluronic Acid Fragrance Free,3606000000000.0,,19.99,LOREAL,SKIN CARE - FACIAL,8.0,159.92,Walgreens,12.29805293512044
CeraVe Salicylic Acid Body Lotion for Rough and Bumpy Skin with Hyaluronic Acid Fragrance Free,3606000000000.0,,19.99,LOREAL,SKIN CARE - FACIAL,8.0,159.92,Walgreens,12.29805293512044
"CeraVe Fragrance-Free Face Cleanser, Foaming Face Wash with Hyaluronic Acid",3606000000000.0,,18.99,LOREAL,SKIN CARE - FACIAL,16.0,303.84,Walgreens,10.249605128205118
CeraVe Hydrating Facial Cleanser,3606000000000.0,,16.99,LOREAL,SKIN CARE - FACIAL,12.0,203.88,Walgreens,10.356324736660405
CeraVe Hydrating Cleansing Bar for Normal to Dry Skin,3606000000000.0,,8.99,LOREAL,SOAP,4.5,40.455,Walgreens,5.077111558441557
CeraVe Hydrating Face Cleanser for Sensitive and Dry Skin,3606000000000.0,,18.99,LOREAL,SKIN CARE - FACIAL,16.0,303.84,Walgreens,10.249605128205118
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented,3606000000000.0,,18.99,LOREAL,SKIN CARE - HAND & BODY,16.0,303.84,Walgreens,10.096699999999998
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented,3606000000000.0,,18.99,LOREAL,SKIN CARE - HAND & BODY,16.0,303.84,Walgreens,10.096699999999998
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented,3606000000000.0,,18.99,LOREAL,SKIN CARE - HAND & BODY,16.0,303.84,Walgreens,10.096699999999998
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented,3606000000000.0,,18.99,LOREAL,SKIN CARE - HAND & BODY,16.0,303.84,Walgreens,10.096699999999998
CeraVe Healing Ointment to Protect and Soothe Dry Skin,3606000000000.0,,19.99,LOREAL,SKIN CARE - HAND & BODY,12.0,239.88,Walgreens,11.978472878787874
CeraVe Healing Ointment to Protect and Soothe Dry Skin,3606000000000.0,,19.99,LOREAL,SKIN CARE - HAND & BODY,12.0,239.88,Walgreens,11.978472878787874
"CeraVe Under Eye Repair Cream for Dark Circles and Puffiness, Fragrance-Free",3606000000000.0,,16.99,LOREAL,SKIN CARE - FACIAL,0.5,8.495,Walgreens,9.626300210622716
CeraVe Anti-Aging Skin Renewing Night Face Cream with Hyaluronic Acid,3606000000000.0,,19.99,LOREAL,SKIN CARE - FACIAL,1.7,33.983,Walgreens,12.306968906648908
"CeraVe Renewing Salicylic Acid Body Cream for Rough and Bumpy Skin, Fragrance-Free",3606000000000.0,,24.99,LOREAL,SKIN CARE - FACIAL,12.0,299.88,Walgreens,15.543599999999987
"CeraVe Renewing Salicylic Acid Body Cream for Rough and Bumpy Skin, Fragrance-Free",3606000000000.0,,24.99,LOREAL,SKIN CARE - FACIAL,12.0,299.88,Walgreens,15.543599999999987
"CeraVe Renewing Salicylic Acid Body Cream for Rough and Bumpy Skin, Fragrance-Free",3606000000000.0,,24.99,LOREAL,SKIN CARE - FACIAL,12.0,299.88,Walgreens,15.543599999999987
CeraVe Travel Size Hydrating Face Cleanser for Sensitive & Dry Skin,3606000000000.0,,5.99,LOREAL,SKIN CARE - FACIAL,3.0,17.97,Walgreens,3.6276912083749546
CeraVe Renewing SA Body Cleanser Fragrance Free Body Wash,3606000000000.0,,14.99,LOREAL,SKIN CARE - FACIAL,8.0,119.92,Walgreens,9.434025133200134
CeraVe Hydrating Facial Cleanser,3606000000000.0,,14.99,LOREAL,SKIN CARE - FACIAL,8.0,119.92,Walgreens,9.434025133200134
CeraVe Ultra-Light Face Lotion SPF 30 Moisturizer with Sunscreen,3606000000000.0,,19.99,LOREAL,SKIN CARE - HAND & BODY,1.7,33.983,Walgreens,11.80056621212121
CeraVe Ultra-Light Face Lotion SPF 30 Moisturizer with Sunscreen,3606000000000.0,,19.99,LOREAL,SKIN CARE - HAND & BODY,1.7,33.983,Walgreens,11.80056621212121
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3606000000000.0,,8.29,LOREAL,SKIN CARE - HAND & BODY,3.0,24.87,Walgreens,5.194643333333337
"CeraVe Anti Aging Face Cream SPF 30, Skin Renewing Day Cream with Retinol",3606000000000.0,,27.99,LOREAL,SKIN CARE - FACIAL,1.76,49.2624,Walgreens,16.24110333333334
CeraVe Healing Ointment,3606000000000.0,,9.99,LOREAL,SKIN CARE - HAND & BODY,3.0,29.97,Walgreens,6.351826468531473
CeraVe Healing Ointment,3606000000000.0,,9.99,LOREAL,SKIN CARE - HAND & BODY,3.0,29.97,Walgreens,6.351826468531473
"CeraVe AM Face Moisturizer SPF 30, Oil-Free with Sunscreen",3606000000000.0,,18.99,LOREAL,SKIN CARE - FACIAL,3.0,56.97,Walgreens,10.12075492979243
CeraVe Night Face Lotion with Hyaluronic Acid Fragrance Free,3606000000000.0,,18.99,LOREAL,SKIN CARE - FACIAL,3.0,56.97,Walgreens,10.12075492979243
CeraVe Face & Body Moisturizing Cream with Pump for Normal to Dry Skin Unscented,3606000000000.0,,19.99,LOREAL,SKIN CARE - HAND & BODY,16.0,319.84,Walgreens,12.045716767676764
CeraVe Skin Renewing Retinol Face Cream Serum,3606000000000.0,,24.99,LOREAL,SKIN CARE - FACIAL,1.0,24.99,Walgreens,15.528958333333332
CeraVe Skin Renewing Retinol Face Cream Serum,3606000000000.0,,24.99,LOREAL,SKIN CARE - FACIAL,1.0,24.99,Walgreens,15.528958333333332
CeraVe Travel Size Foaming Face Cleanser for Normal to Oily Skin with Hyaluronic Acid,3606000000000.0,,6.29,LOREAL,SKIN CARE - FACIAL,3.0,18.87,Walgreens,3.608976666666662
CeraVe Foaming Face Cleanser for Normal to Oily Skin with Hyaluronic Acid,3606000000000.0,,14.99,LOREAL,SKIN CARE - FACIAL,8.0,119.92,Walgreens,9.434025133200134
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3606000000000.0,,18.99,LOREAL,SKIN CARE - HAND & BODY,16.0,303.84,Walgreens,10.096699999999998
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3606000000000.0,,18.99,LOREAL,SKIN CARE - HAND & BODY,16.0,303.84,Walgreens,10.096699999999998
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid,3606000000000.0,,14.99,LOREAL,SKIN CARE - HAND & BODY,8.0,119.92,Walgreens,8.863925133200137
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid,3606000000000.0,,14.99,LOREAL,SKIN CARE - HAND & BODY,8.0,119.92,Walgreens,8.863925133200137
CeraVe AM Face Moisturizer SPF 30 Oil-Free Cream with Sunscreen,3606000000000.0,,15.99,LOREAL,SKIN CARE - FACIAL,2.0,31.98,Walgreens,9.767958333333342
"CeraVe Hydrating Hyaluronic Acid Face Serum for Dry Skin, Fragrance Free",3606000000000.0,,24.99,LOREAL,SKIN CARE - FACIAL,1.0,24.99,Walgreens,15.528958333333332
La Roche - Posay Effaclar Adapalene Gel 0.1% Retinoid Acne Treatment,3606000000000.0,,35.99,LA ROCHE-POS,SKIN CARE - ACNE,1.6,57.584,Walgreens,21.87013333333332
"La Roche-Posay Anthelios Melt-In Milk Oxybenzone Free Sunscreen for Body & Face, SPF 60",3606000000000.0,19.49,25.99,LA ROCHE-POS,SUN CARE,3.0,77.97,Walgreens,15.452999999999983
"La Roche-Posay Anthelios Melt-In Milk Oxybenzone Free Sunscreen for Body & Face, SPF 60",3606000000000.0,19.49,25.99,LA ROCHE-POS,SUN CARE,3.0,77.97,Walgreens,15.452999999999983
La Roche-Posay Body & Face Mineral Sunscreen Gentle Lotion SPF 50,3606000000000.0,19.49,25.99,LA ROCHE-POS,SUN CARE,3.0,77.97,Walgreens,15.452999999999983
"CeraVe Vitamin C Face Serum, Skin Brightening Serum with Hyaluronic Acid",3606000000000.0,,28.99,LOREAL,SKIN CARE - FACIAL,1.0,28.99,Walgreens,16.968001190476205
CeraVe Retinol Serum for Post-Acne Marks and Skin Texture,3606000000000.0,,19.99,LOREAL,SKIN CARE - ACNE,1.0,19.99,Walgreens,12.541320314685311
La Roche-Posay Cicaplast Baume B5 Soothing Therapeutic Multi Purpose Cream for Dry Skin,3606000000000.0,,15.99,LA ROCHE-POS,SKIN CARE - HAND & BODY,1.35,21.5865,Walgreens,9.653933333333336
"La Roche-Posay Anthelios Clear Skin Sunscreen for Face, Oil-Free, SPF 60",3606000000000.0,14.99,19.99,LA ROCHE-POS,SUN CARE,1.7,33.983,Walgreens,11.839400000000007
"La Roche-Posay Anthelios Clear Skin Sunscreen for Face, Oil-Free, SPF 60",3606000000000.0,14.99,19.99,LA ROCHE-POS,SUN CARE,1.7,33.983,Walgreens,11.839400000000007
L'Oreal Paris Elvive Color Vibrancy Purple Shampoo for Color Treated Hair,3600520000000.0,,5.99,LOREAL,HAIR CARE - SHAMPOO/CONDITIONER,6.7,40.133,Walgreens,3.669126409513687
L'Oreal Paris Elvive Color Vibrancy Purple Shampoo for Color Treated Hair,3600520000000.0,,5.99,LOREAL,HAIR CARE - SHAMPOO/CONDITIONER,6.7,40.133,Walgreens,3.669126409513687
BIODERMA Sensibio H2O Micellar Cleansing Water-Makeup Remover for Sensitive Skin,3401580000000.0,,12.99,NAT VIT CO,SKIN CARE - FACIAL,8.4,109.116,Walgreens,5.559800000000006
"BIODERMA Atoderm Cleansing Oil, For Dry to Atopic Skin",3401530000000.0,,29.99,INVACARE,SOAP,33.8,1013.662,Walgreens,14.63331666666666
BIODERMA Sensibio H2O Micellar Water Cleanser Makeup Remover for Sensitive Skin,3401400000000.0,,5.99,PHY FORMULA,COSMETICS - FACIAL,3.4,20.366,Walgreens,3.7681272961816297
La Roche-Posay Lipikar AP+ Body & Face Wash,3337880000000.0,,17.99,LA ROCHE-POS,SKIN CARE - HAND & BODY,13.52,243.2248,Walgreens,10.036472287581702
Vichy Mineral 89 Hyaluronic Acid Face Serum,3337880000000.0,,19.99,BOEHR/INGELH,SKIN CARE - FACIAL,30.0,599.7,Walgreens,12.086984761904764
