Description,UPC,Promo_Price,Retail_Price,Manufacturer,Category,Count,Multiplier,Retailer,Predicted_List_Price
"Mute Breathe More, Snore Less Trial (Sm, Med, Lg)",9349390000000.0,15.661700000000007,17.99,RHINOMED,UPPER RESPIRATORY - NASAL PRODUCTS,1.0,17.99,Walgreens,9.462783333333329
Pink Sugar Body Mist,8054610000000.0,5.8,8.29,NAT/BOUNTY,FOOT CARE PRODUCTS,8.0,66.32,Walgreens,6.067999999999999
ORGANYC Organic Intimate Hygiene Wet Wipes,8016870000000.0,3.777211111111115,4.9,CORMAN,FEMININE NEEDS - WOMEN'S CARE,20.0,98.0,Walgreens,2.8594000000000026
ORGANYC Organic Intimate Wash for Sensitive Skin,8016870000000.0,4.694416666666668,5.99,CORMAN,FEMININE NEEDS - WOMEN'S CARE,0.0,50.915,Walgreens,3.511663046398045
Lelo Hex Latex Condoms,7350080000000.0,14.756900000000007,18.99,HEALTHSMART,CONTRACEPTIVES,12.0,227.88,Walgreens,12.201500000000003
Hibiclens Antimicrobial and Antiseptic Soap and Skin Cleanser with Foaming Pump,7323190000000.0,18.47460000000001,19.99,MOLNLYCKE,FIRST AID - TREATMENTS,16.0,319.84,Walgreens,11.736499999999984
Promixx Pursuit Eco Shaker Bottle - Black 24oz,5060540000000.0,8.431054272481909,9.99,BAYER INC,HOME HEALTH CARE,1.0,9.99,Walgreens,6.144758333333328
Herstat Plus+ Cold Sore Treatment,5060210000000.0,17.6625,19.99,HERSTAT,UPPER RESPIRATORY - EXTERNAL,0.0,1.3993,Walgreens,12.685799999999999
Soap & Glory Clean on Me Clarifying Body Wash Original Pink,5045100000000.0,7.7599000000000045,9.0,PHARMAVITE,SOAP,0.0,152.1,Walgreens,5.614659999999998
Soap & Glory Clean on Me Clarifying Body Wash Original Pink,5045100000000.0,7.7599000000000045,9.0,AT LAST NAT,SOAP,0.0,152.1,Walgreens,6.5395599999999945
Soap & Glory Smoothie Star Body Lotion,5045100000000.0,9.940400000000006,11.0,PHARMA ULT/H,SKIN CARE - HAND & BODY,0.0,185.9,Walgreens,5.705170000000009
No7 Pure Retinol Eye Cream,5000170000000.0,26.201599999999964,29.99,SWISS RES,SKIN CARE - FACIAL,0.0,14.995,Walgreens,15.285283333333316
No7 Melting Gel Cleanser for Dry Skin,5000170000000.0,8.365856144751517,9.99,ECLECTIC,SKIN CARE - FACIAL,5.0,49.95,Walgreens,7.6821327383727365
No7 Restore & Renew Face & Neck Mulit Action Fragrance Free Day Cream SPF 30 Fragrance Free,5000170000000.0,30.002064141414095,34.99,INVACARE,SKIN CARE - FACIAL,0.0,59.1331,Walgreens,18.6446285714286
"No7 Lift & Luminate Triple Action Serum Foundation, Honey",5000170000000.0,15.674400000000007,17.99,NAT/BOUNTY,COSMETICS - FACIAL,1.0,17.99,Walgreens,8.884466666666667
"Clairol Nice 'n Easy Permanent Hair Color, Darkest Burgundy Violet 3RV",4064670000000.0,7.663400000000004,9.29,COTY,HAIR CARE - COLORING,1.0,9.29,Walgreens,6.149999999999989
"Clairol Nice 'n Easy Permanent Hair Color, Darkest Burgundy Violet 3RV",4064670000000.0,7.663400000000004,9.29,COTY,HAIR CARE - COLORING,1.0,9.29,Walgreens,6.149999999999989
CoverGirl Exhibitionist Mascara Very Black,3614230000000.0,11.029558333333336,13.49,PHY FORMULA,COSMETICS-EYE,0.0,4.047,Walgreens,6.781301190476203
La Roche-Posay Anthelios Kids Gentle Lotion Sunscreen SPF 50 for Face and Body Fragrance-Free,3606000000000.0,27.62619999999997,33.0,LA ROCHE-POS,SUN CARE,0.0,221.1,Walgreens,19.09939999999999
CeraVe Acne Control Cleanser,3606000000000.0,15.56305,16.99,LOREAL,SKIN CARE - ACNE,8.0,135.92,Walgreens,10.395350000000006
CeraVe Acne Control Gel,3606000000000.0,18.32680000000001,20.99,LOREAL,SKIN CARE - ACNE,0.0,28.3365,Walgreens,12.581199999999994
"CeraVe Renewing SA Cleanser, Fragrance Free",3606000000000.0,13.418400000000009,18.99,LOREAL,SKIN CARE - FACIAL,16.0,303.84,Walgreens,11.580579999999982
CeraVe Baby Moisturizing Cream with Hyaluronic Acid and Essential Ceramides,3606000000000.0,7.255528571428574,9.99,LOREAL,BABY PRODUCTS,5.0,49.95,Walgreens,6.270400000000002
CeraVe Gentle Baby Moisturizing Lotion with Hyaluronic Acid and Ceramides,3606000000000.0,7.281728571428573,9.99,LOREAL,BABY PRODUCTS,8.0,79.92,Walgreens,6.316700000000002
CeraVe Baby Wash and Shampoo for Tear-Free Baby Bath Time,3606000000000.0,7.281728571428573,9.99,LOREAL,BABY PRODUCTS,8.0,79.92,Walgreens,6.316700000000002
CeraVe Hydrating Cream-to-Foam Face Cleanser,3606000000000.0,13.418400000000009,18.99,LOREAL,SKIN CARE - FACIAL,16.0,303.84,Walgreens,11.580579999999982
CeraVe Foaming Cleanser Bar for Oily Skin,3606000000000.0,7.4729000000000045,8.99,LOREAL,SOAP,0.0,40.455,Walgreens,4.772366666666664
CeraVe Eczema Relief Creamy Body Oil,3606000000000.0,13.605300000000007,18.99,LOREAL,SKIN CARE - HAND & BODY,8.0,151.92,Walgreens,11.0124
CeraVe Eczema Relief Creamy Body Oil,3606000000000.0,13.605300000000007,18.99,LOREAL,SKIN CARE - HAND & BODY,8.0,151.92,Walgreens,11.0124
CeraVe Healing Ointment,3606000000000.0,7.411900000000004,8.99,LOREAL,SKIN CARE - HAND & BODY,0.0,16.9911,Walgreens,5.367699999999998
CeraVe Healing Ointment,3606000000000.0,7.411900000000004,8.99,LOREAL,SKIN CARE - HAND & BODY,0.0,16.9911,Walgreens,5.367699999999998
CeraVe Healing Ointment,3606000000000.0,7.411900000000004,8.99,LOREAL,SKIN CARE - HAND & BODY,0.0,16.9911,Walgreens,5.367699999999998
CeraVe Itch Relief Moisturizing Lotion with Pramoxine Hydrochloride for Dry Skin,3606000000000.0,24.56000000000003,28.99,LOREAL,FIRST AID - TREATMENTS,16.0,463.84,Walgreens,17.8145
CeraVe Itch Relief Moisturizing Lotion with Pramoxine Hydrochloride for Dry Skin,3606000000000.0,24.56000000000003,28.99,LOREAL,FIRST AID - TREATMENTS,16.0,463.84,Walgreens,17.8145
