Description,UPC,Promo_Price,Retail_Price,List_Price,Manufacturer,Category,Count,Multiplier,Retailer
"Mute Breathe More, Snore Less Trial (Sm, Med, Lg)",9.34939E+12,,17.99,9,RHINOMED,UPPER RESPIRATORY - NASAL PRODUCTS,1,17.99,Walgreens
Pink Sugar Body Mist,8.05461E+12,5.8,8.29,7,NAT/BOUNTY,FOOT CARE PRODUCTS,8,66.32,Walgreens
ORGANYC Organic Intimate Hygiene Wet Wipes,8.01687E+12,,4.9,2.99,CORMAN,FEMININE NEEDS - WOMEN'S CARE,20,98,Walgreens
ORGANYC Organic Intimate Wash for Sensitive Skin,8.01687E+12,,5.99,4.99,CORMAN,FEMININE NEEDS - WOMEN'S CARE,8.5,50.915,Walgreens
Lelo Hex Latex Condoms,7.35008E+12,,18.99,12.75,HEALTHSMART,CONTRACEPTIVES,12,227.88,Walgreens
Hibiclens Antimicrobial and Antiseptic Soap and Skin Cleanser with Foaming Pump,7.32319E+12,,19.99,10.81,MOLNLYCKE,FIRST AID - TREATMENTS,16,319.84,Walgreens
Promixx Pursuit Eco Shaker Bottle - Black 24oz,5.06054E+12,,9.99,5.9,BAYER INC,HOME HEALTH CARE,1,9.99,Walgreens
Herstat Plus+ Cold Sore Treatment,5.06021E+12,,19.99,13.6,HERSTAT,UPPER RESPIRATORY - EXTERNAL,0.07,1.3993,Walgreens
Soap & Glory Clean on Me Clarifying Body Wash Original Pink,5.0451E+12,,9,3.61,PHARMAVITE,SOAP,16.9,152.1,Walgreens
Soap & Glory Clean on Me Clarifying Body Wash Original Pink,5.0451E+12,,9,7.18,AT LAST NAT,SOAP,16.9,152.1,Walgreens
Soap & Glory Smoothie Star Body Lotion,5.0451E+12,,11,5.97,PHARMA ULT/H,SKIN CARE - HAND & BODY,16.9,185.9,Walgreens
No7 Pure Retinol Eye Cream,5.00017E+12,,29.99,13.8,SWISS RES,SKIN CARE - FACIAL,0.5,14.995,Walgreens
No7 Melting Gel Cleanser for Dry Skin,5.00017E+12,,9.99,8.66,ECLECTIC,SKIN CARE - FACIAL,5,49.95,Walgreens
